"PO_ID","BP_COMPANY_NAME","RESP_BP_ID","NET_AMOUNT","CHANGED_AT","GROSS_AMOUNT","LIFECYCLE_STATUS","APPROVAL_STATUS","CONFIRM_STATUS","ORDERING_STATUS","INVOICING_STATUS","TEXT_NOTE_PO","TAX_AMOUNT","CREATED_AT","CURRENCY_CODE"
"300000010","Compostela","100000064","6102","01/11/2018, 00:00:00","7261.38","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000010 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","1159.38","06/02/2028, 00:00:00","EUR"
"300000011","Entertainment Argentinia","100000081","399.6","05/15/2023, 00:00:00","475.52","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000011 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","75.92","05/15/2023, 00:00:00","EUR"
"300000012","Developement Para O Governo","100000073","13127","01/13/2018, 00:00:00","15621.13","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000012 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","2494.13","05/31/2026, 00:00:00","EUR"
"300000013","Becker Berlin","100000047","5310.95","01/14/2018, 00:00:00","6320.04","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000013 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","1009.09","09/21/2020, 00:00:00","EUR"
"300000014","Japan Insurance Partner","100000080","201","05/15/2023, 00:00:00","239.19","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000014 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","38.19","05/15/2023, 00:00:00","EUR"
"300000015","HEPA Tec","100000059","10988.1","01/16/2018, 00:00:00","13075.83","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000015 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","2087.73","03/16/2023, 00:00:00","EUR"
"300000016","Florida Holiday Company","100000067","1632","01/17/2018, 00:00:00","1942.08","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000016 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","310.08","10/01/2018, 00:00:00","EUR"
"300000017","Becker Berlin","100000047","98.99","01/18/2018, 00:00:00","117.8","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000017 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 2</td></tr></table></body></html>","18.81","05/29/2025, 00:00:00","EUR"
"300000018","Asia High tech","100000052","16650","01/19/2018, 00:00:00","19813.5","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000018 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","3163.5","11/14/2024, 00:00:00","EUR"
"300000019","Talpa","100000049","7099.56","01/20/2018, 00:00:00","8448.47","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000019 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","1348.91","06/04/2023, 00:00:00","EUR"
"300000020","African Gold And Diamond Corporation","100000082","3344.6","05/15/2023, 00:00:00","3980.08","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000020 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","635.48","05/15/2023, 00:00:00","EUR"
"300000021","Asia High tech","100000052","6408","05/15/2023, 00:00:00","7625.52","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000021 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","1217.52","05/15/2023, 00:00:00","EUR"
"300000022","Robert Brown Entertainment","100000061","1290","05/15/2023, 00:00:00","1535.1","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000022 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 2</td></tr></table></body></html>","245.1","05/15/2023, 00:00:00","EUR"
"300000023","South American IT Company","100000087","1365","05/15/2023, 00:00:00","1624.35","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000023 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","259.35","05/15/2023, 00:00:00","EUR"
"300000024","Laurent","100000053","11581","01/25/2018, 00:00:00","13781.39","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000024 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","2200.39","03/18/2021, 00:00:00","EUR"
"300000025","Getränkegroßhandel Janssen","100000069","39985","01/26/2018, 00:00:00","47582.15","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000025 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","7597.15","07/19/2020, 00:00:00","EUR"
"300000026","Vente Et Réparation de Ordinateur","100000072","15286","05/15/2023, 00:00:00","18190.34","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000026 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","2904.34","05/15/2023, 00:00:00","EUR"
"300000027","SAP","100000046","7716","01/28/2018, 00:00:00","9182.04","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000027 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","1466.04","08/31/2020, 00:00:00","EUR"
"300000028","Siwusha","100000088","4879","01/29/2018, 00:00:00","5806.01","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000028 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","927.01","04/12/2029, 00:00:00","EUR"
"300000029","Pear Computing Services","100000056","1366.7","01/30/2018, 00:00:00","1626.37","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000029 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","259.67","01/13/2028, 00:00:00","EUR"
"300000030","South American IT Company","100000087","2262","01/31/2018, 00:00:00","2691.78","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000030 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","429.78","11/24/2026, 00:00:00","EUR"
"300000031","Developement Para O Governo","100000073","4160","02/01/2018, 00:00:00","4950.4","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000031 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","790.4","08/13/2027, 00:00:00","EUR"
"300000032","Vente Et Réparation de Ordinateur","100000072","10101","02/02/2018, 00:00:00","12020.19","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000032 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","1919.19","01/28/2023, 00:00:00","EUR"
"300000033","JaTeCo","100000070","60482","02/03/2018, 00:00:00","71973.58","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000033 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","11491.58","01/05/2022, 00:00:00","EUR"
"300000034","Danish Fish Trading Company","100000089","7354","02/04/2018, 00:00:00","8751.26","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000034 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","1397.26","05/13/2029, 00:00:00","EUR"
"300000035","C.R.T.U.","100000075","4150","05/15/2023, 00:00:00","4938.5","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000035 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","788.5","05/15/2023, 00:00:00","EUR"
"300000036","Angeré","100000078","2711.97","02/06/2018, 00:00:00","3227.24","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000036 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","515.27","09/23/2027, 00:00:00","EUR"
"300000037","Baleda","100000077","7178.94","02/07/2018, 00:00:00","8542.94","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000037 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","1364","07/30/2020, 00:00:00","EUR"
"300000038","Pear Computing Services","100000056","2929.4","02/08/2018, 00:00:00","3485.98","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000038 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","556.58","07/10/2018, 00:00:00","EUR"
"300000039","Becker Berlin","100000047","5148.98","02/09/2018, 00:00:00","6127.29","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000039 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","978.31","02/26/2023, 00:00:00","EUR"
"300000040","Telecomunicaciones Star","100000055","11155.2","02/10/2018, 00:00:00","13274.68","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000040 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","2119.48","06/06/2029, 00:00:00","EUR"
"300000041","Angeré","100000078","1624.98","05/15/2023, 00:00:00","1933.73","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000041 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","308.75","05/15/2023, 00:00:00","EUR"
"300000042","Asia High tech","100000052","1810","02/12/2018, 00:00:00","2153.9","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000042 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 2</td></tr></table></body></html>","343.9","06/15/2019, 00:00:00","EUR"
"300000043","Vente Et Réparation de Ordinateur","100000072","4725","02/13/2018, 00:00:00","5622.75","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000043 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","897.75","03/28/2028, 00:00:00","EUR"
"300000044","Asia High tech","100000052","17207","02/14/2018, 00:00:00","20476.33","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000044 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","3269.33","01/08/2026, 00:00:00","EUR"
"300000045","JaTeCo","100000070","75864","02/15/2018, 00:00:00","90278.16","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000045 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","14414.16","04/05/2018, 00:00:00","EUR"
"300000046","Getränkegroßhandel Janssen","100000069","10797","02/16/2018, 00:00:00","12848.43","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000046 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","2051.43","03/29/2019, 00:00:00","EUR"
"300000047","South American IT Company","100000087","897","02/17/2018, 00:00:00","1067.43","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000047 <script language="javascript" type="text/javascript"> document.write('<table>'); document.write('<tr>');document.write('<td>JStest-HT-1082</td>'); document.write('</tr>'); document.write('</table>'); </script>","170.43","09/02/2026, 00:00:00","EUR"
"300000048","Jologa","100000076","4418","05/15/2023, 00:00:00","5257.42","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000048 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","839.42","05/15/2023, 00:00:00","EUR"
"300000049","Developement Para O Governo","100000073","14081","02/19/2018, 00:00:00","16756.39","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000049 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","2675.39","09/09/2028, 00:00:00","EUR"
"300000050","Panorama Studios","100000050","6175.92","02/20/2018, 00:00:00","7349.35","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000050 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","1173.43","07/16/2026, 00:00:00","EUR"
"300000051","Florida Holiday Company","100000067","9456","02/21/2018, 00:00:00","11252.64","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000051 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","1796.64","08/28/2028, 00:00:00","EUR"
"300000052","Chemia A Technicznie Fabryka","100000086","2639","02/22/2018, 00:00:00","3140.41","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000052 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","501.41","09/04/2027, 00:00:00","EUR"
"300000053","New Line Design","100000058","5253","02/23/2018, 00:00:00","6251.07","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000053 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","998.07","07/17/2026, 00:00:00","EUR"
"300000054","Baleda","100000077","3314.97","02/24/2018, 00:00:00","3944.82","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000054 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","629.85","04/28/2022, 00:00:00","EUR"
"300000055","JaTeCo","100000070","105576","05/15/2023, 00:00:00","125635.44","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000055 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","20059.44","05/15/2023, 00:00:00","EUR"
"300000056","Indian IT Trading Company","100000085","819","02/26/2018, 00:00:00","974.61","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000056 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","155.61","03/27/2029, 00:00:00","EUR"
"300000057","C.R.T.U.","100000075","3084","02/27/2018, 00:00:00","3669.96","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000057 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","585.96","10/12/2018, 00:00:00","EUR"
"300000058","Becker Berlin","100000047","6451.97","02/28/2018, 00:00:00","7677.85","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000058 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","1225.88","04/14/2025, 00:00:00","EUR"
"300000059","SAP","100000046","2902","03/01/2018, 00:00:00","3453.38","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000059 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","551.38","05/18/2023, 00:00:00","EUR"
"300000060","Russian Electronic Trading Company","100000066","10626","03/02/2018, 00:00:00","12644.94","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000060 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","2018.94","05/19/2020, 00:00:00","EUR"
"300000061","Laurent","100000053","3864","03/03/2018, 00:00:00","4598.16","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000061 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","734.16","02/14/2022, 00:00:00","EUR"
"300000062","PC Gym Tec","100000079","606.91","03/04/2018, 00:00:00","722.23","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000062 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","115.32","06/15/2026, 00:00:00","EUR"
"300000063","PicoBit","100000083","1978.6","03/05/2018, 00:00:00","2354.54","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000063 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","375.94","10/09/2018, 00:00:00","EUR"
"300000064","Quimica Madrilenos","100000068","8640","03/06/2018, 00:00:00","10281.6","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000064 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","1641.6","09/07/2024, 00:00:00","EUR"
"300000065","Tessile Casa Di Roma","100000071","179028","05/15/2023, 00:00:00","213043.32","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000065 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","34015.32","05/15/2023, 00:00:00","EUR"
"300000066","Entertainment Argentinia","100000081","186.9","03/08/2018, 00:00:00","222.41","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000066 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","35.51","06/30/2018, 00:00:00","EUR"
"300000067","African Gold And Diamond Corporation","100000082","679.7","03/09/2018, 00:00:00","808.84","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000067 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 2</td></tr></table></body></html>","129.14","06/30/2021, 00:00:00","EUR"
"300000068","New Line Design","100000058","3477","05/15/2023, 00:00:00","4137.63","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000068 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","660.63","05/15/2023, 00:00:00","EUR"
"300000069","South American IT Company","100000087","1677","05/15/2023, 00:00:00","1995.63","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000069 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","318.63","05/15/2023, 00:00:00","EUR"
"300000070","Siwusha","100000088","9513","03/12/2018, 00:00:00","11320.47","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000070 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 9</td></tr></table></body></html>","1807.47","07/15/2019, 00:00:00","EUR"
"300000071","Getränkegroßhandel Janssen","100000069","10797","03/13/2018, 00:00:00","12848.43","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000071 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","2051.43","09/23/2022, 00:00:00","EUR"
"300000072","JaTeCo","100000070","432","03/14/2018, 00:00:00","514.08","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000072 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 2</td></tr></table></body></html>","82.08","09/19/2020, 00:00:00","EUR"
"300000073","Anav Ideon","100000060","2740","03/15/2018, 00:00:00","3260.6","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000073 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","520.6","09/25/2026, 00:00:00","EUR"
"300000074","Panorama Studios","100000050","5140.92","03/16/2018, 00:00:00","6117.69","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000074 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","976.77","08/02/2021, 00:00:00","EUR"
"300000075","HEPA Tec","100000059","12023.1","03/17/2018, 00:00:00","14307.48","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000075 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","2284.38","09/08/2022, 00:00:00","EUR"
"300000076","PicoBit","100000083","2950.2","03/18/2018, 00:00:00","3510.74","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000076 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 10</td></tr></table></body></html>","560.54","12/17/2018, 00:00:00","EUR"
"300000077","Siwusha","100000088","7546","05/15/2023, 00:00:00","8979.74","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000077 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","1433.74","05/15/2023, 00:00:00","EUR"
"300000078","Brazil Technologies","100000074","4638","05/15/2023, 00:00:00","5519.22","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000078 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","881.22","05/15/2023, 00:00:00","EUR"
"300000079","Danish Fish Trading Company","100000089","11851","03/21/2018, 00:00:00","14102.69","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000079 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 5</td></tr></table></body></html>","2251.69","11/06/2023, 00:00:00","EUR"
"300000080","Chemia A Technicznie Fabryka","100000086","2927","03/22/2018, 00:00:00","3483.13","Rejected","Rejected","Initial","Initial","Initial","EPM DG: PO ID 0300000080 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","556.13","01/14/2025, 00:00:00","EUR"
"300000081","JaTeCo","100000070","45194","03/23/2018, 00:00:00","53780.86","Cancelled","Approved","Cancelled","Initial","Initial","EPM DG: PO ID 0300000081 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","8586.86","01/24/2027, 00:00:00","EUR"
"300000082","Talpa","100000049","4094.33","03/24/2018, 00:00:00","4872.25","In Progress","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000082 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 8</td></tr></table></body></html>","777.92","07/05/2020, 00:00:00","EUR"
"300000083","Florida Holiday Company","100000067","7405","03/25/2018, 00:00:00","8811.95","Cancelled","Approved","Initial","Initial","Initial","EPM DG: PO ID 0300000083 --- HT-1102 is a phantastic product! ... with "Umlauts" ä Ä ü Ü ö Ö ß","1406.95","04/14/2026, 00:00:00","EUR"
"300000084","Vente Et Réparation de Ordinateur","100000072","4230","03/26/2018, 00:00:00","5033.7","New","Initial","Initial","Initial","Initial","EPM DG: PO ID 0300000084 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 3</td></tr></table></body></html>","803.7","05/05/2023, 00:00:00","EUR"
"300000085","C.R.T.U.","100000075","3388","05/15/2023, 00:00:00","4031.72","In Progress","Approved","Sent","Initial","Initial","EPM DG: PO ID 0300000085 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 7</td></tr></table></body></html>","643.72","05/15/2023, 00:00:00","EUR"
"300000086","Talpa","100000049","5279.68","03/28/2018, 00:00:00","6282.82","Closed","Approved","Confirmed","Delivered","Invoiced","EPM DG: PO ID 0300000086 <html><body><b>PO Items : </b><table id="tab1"><tr><td>Total Number of Items : </td><td> 4</td></tr></table></body></html>","1003.14","01/21/2023, 00:00:00","EUR"
