"COMPANY_NAME","LEGAL_FORM","BP_ID","EMAIL_ADDRESS","PHONE_NUMBER","COUNTRY","POSTAL_CODE","CITY","STREET","WEB_ADDRESS","CREATED_AT","CHANGED_AT","CURRENCY_CODE","FAX_NUMBER","BP_ROLE","LATITUDE","LONGITUDE","BUILDING"
"Developement Para O Governo","S.A.","100000073","supplier-martha.calcagno@dpg.ar","7345697824","Argentina","1510","Santa Fe","de Enero","http://www.dpg.ar","05/15/2023, 16:10:33","05/15/2023, 16:10:33","ARS","7345697004","02","-31.6184553","-60.7029753","85"
"Brazil Technologies","S.A.","100000074","supplier-beatriz.da_silva@brazil-tec.br","469614115","Brazil","20230","Rio de Janeiro","Rua do Passeio","http://www.brazil-tec.br","05/15/2023, 16:10:33","05/15/2023, 16:10:33","BRL","469614004","02","-22.9117983","-43.1756308","7"
"C.R.T.U.","Ltd.","100000075","supplier-anthony.lebouef@crtu.ca","6839542781","Canada","H2T1R1","Montreal","Avenue du Mont-Royal Est","http://www.crtu.ca","05/15/2023, 16:10:33","05/15/2023, 16:10:33","CAD","6839542004","02","45.5364941","-73.5711808","370"
"Jologa","GmbH","100000076","supplier-lisa.felske@jologa.ch","6714954542","Switzerland","2564","Zürich","Paul-Clairmont-Strasse","http://www.jologa.ch","05/15/2023, 16:10:33","05/15/2023, 16:10:33","CHF","6714954004","02","47.3669656","8.4995679","23"
"Baleda","Inc.","100000077","supplier-jonathan.d.mason@baleda.com","2483693027","USA","75364","Dallas, Texas","McKinney Ave","http://www.baleda.com","05/15/2023, 16:10:33","05/15/2023, 16:10:33","USD","2483693004","02","32.785248","-96.805932","2407"
"Angeré","S.A.R.L.","100000078","supplier-amelie.troyat@angere.fr","2094573421","France","75018","Paris","Rue de Rivoli","http://www.angere.fr","05/15/2023, 16:10:33","05/15/2023, 16:10:33","EUR","2094573004","02","48.860395","2.3423302","143"
"PC Gym Tec","Inc.","100000079","supplier-pete_waltham@pc-gym-tec.com","4136278910","USA","60773","Chicago, Illinois","North Michigan Avenue","http://www.pc-gym-tec.com","05/15/2023, 16:10:33","05/15/2023, 16:10:33","USD","4136278004","02","41.8949329","-87.6243368","50"
"Japan Insurance Partner","Inc.","100000080","supplier-ryu.toshiro@jip.jp","3540671320","Japan","105-0011","Tokyo","4-2-8-Shibakoen","http://www.jip.jp","05/15/2023, 16:10:33","05/15/2023, 16:10:33","JPY","3540671004","02","35.6706094","139.7521251","8"
"Entertainment Argentinia","S.A.","100000081","supplier-jose-lopez@en-ar.ar","7315064077","Argentina","1147","Buenos Aires","Avenida San Juan","http://www.en-ar.ar","05/15/2023, 16:10:33","05/15/2023, 16:10:33","ARS","7315064004","02","-34.6219054","-58.3728198","350"
"African Gold And Diamond Corporation","Ltd.","100000082","supplier-dahoma.lawla@agadc.co.za","4381762683","South Africa","2006","Johannesburg","Bay View Ave","http://www.agadc.co.za","05/15/2023, 16:10:33","05/15/2023, 16:10:33","ZAR","4381762004","02","-26.205","28.0497222","45"
"PicoBit","Inc.","100000083","supplier-jefferson.parker@pico-bit.com","9703586412","USA","10184","New York City","Fith Avenue","http://www.pico-bit.com","05/15/2023, 16:10:33","05/15/2023, 16:10:33","USD","9703586004","02","40.7305991","-73.9865812","1843"
"Bionic Research Lab","AG","100000084","supplier-tamara.flaig@brl-ag.de","6843585642","Germany","77815","Bühl","Hauptstraße","http://www.brl-ag.de","05/15/2023, 16:10:33","05/15/2023, 16:10:33","EUR","6843585004","02","48.690914906","8.132659252024","12"
"Indian IT Trading Company","Ltd.","100000085","supplier-sunita-kapoor@it-trade.in","4203876954","India","400021","Mumbai","Nariman Point","http://www.it-trade.in","05/15/2023, 16:10:33","05/15/2023, 16:10:33","INR","4203876004","02","18.9265618","72.8228326","11"
"Chemia A Technicznie Fabryka","Sp.z.o.o.","100000086","supplier-pawel-lewandoski@catf.pl","8367920106","Poland","00564","Warsaw","Koszykowa","http://www.catf.pl","05/15/2023, 16:10:33","05/15/2023, 16:10:33","PLN","8367920004","02","52.222995","21.0051176","28"
"South American IT Company","S.A.","100000087","supplier-laura.campillo@saitc.ar","1438907230","Argentina","5003","Cordoba","Av. Ambrosio Olmos","http://www.saitc.ar","05/15/2023, 16:10:33","05/15/2023, 16:10:33","ARS","1438907004","02","-31.4154633","-64.1844617","297"
"Siwusha","CJV","100000088","supplier-jian.si@siwusha.cn","7412697340","China","200083","Shanghai","Shui Dian Lu","http://www.siwusha.cn","05/15/2023, 16:10:33","05/15/2023, 16:10:33","CNY","7412697004","02","31.306317","121.47175","37"
"Danish Fish Trading Company","A/S","100000089","supplier-frederik.christensen@dftc.dk","3102050749","Denmark","1907","Copenhagen","Stockholmsgade","http://www.dftc.dk","05/15/2023, 16:10:33","05/15/2023, 16:10:33","DKK","3102050004","02","55.6913504","12.5803771","79"
"Sorali","AG","100000090","supplier-mirjam.schmidt@sorali.de","3102050749","Germany","76188","Karlsruhe","Rubensstraße","http://www.sorali.de","05/15/2023, 16:10:33","05/15/2023, 16:10:33","EUR","3102050004","02","49.042718","8.3807608","140"
